amount,transaction_hour,merchant_category,foreign_transaction,location_mismatch,device_trust_score,velocity_last_24h,cardholder_age,is_fraud
7.49,1,Grocery,0,0,97,1,47,0
160.88,0,Food,0,0,89,2,49,0
203.73,13,Clothing,0,0,74,3,37,0
3.01,16,Food,0,0,72,0,55,0
129.17,12,Food,0,0,61,3,37,0
46.23,18,Food,1,1,57,2,19,0
186.5,22,Electronics,0,0,30,2,48,0
34.49,14,Electronics,0,0,94,2,67,0
211.36,13,Electronics,0,0,79,1,45,0
88.01,1,Electronics,0,1,68,0,20,0
496.86,6,Travel,0,1,74,4,37,0
26.63,16,Food,0,0,78,2,52,0
75.08,17,Travel,0,0,87,4,36,0
21.68,5,Clothing,0,0,40,3,23,0
465.51,20,Grocery,0,0,71,5,28,0
377.7,7,Travel,1,0,81,2,62,0
53.7,1,Electronics,0,0,26,3,23,0
194.18,0,Electronics,0,0,61,3,35,0
305.91,15,Clothing,0,0,47,4,64,0
145.82,6,Food,0,0,37,1,31,0
135.77,21,Grocery,1,0,89,4,31,0
49.84,23,Travel,0,0,72,2,18,0
17.59,10,Food,0,0,31,1,34,0
409.52,14,Food,0,0,55,2,31,0
415.22,12,Travel,1,0,87,2,48,0
180.48,23,Travel,0,0,69,4,62,0
74.53,1,Travel,0,0,80,3,27,0
77.32,13,Travel,0,0,88,3,55,0
233,23,Electronics,0,0,46,0,50,0
409.34,5,Food,0,0,87,2,22,0
392.6,8,Food,0,0,52,1,33,0
272.44,6,Electronics,0,0,68,0,37,0
184.92,17,Food,0,0,38,2,65,0
15.82,23,Travel,0,0,43,2,39,0
31.73,8,Grocery,0,0,84,1,57,0
411.88,22,Food,0,0,26,3,34,0
167.85,3,Grocery,1,0,75,1,67,0
1.66,8,Grocery,0,0,58,2,67,0
19.26,3,Electronics,0,0,75,2,26,0
196.05,11,Clothing,0,0,43,0,55,0
0.91,3,Food,0,0,60,2,59,0
31.56,23,Electronics,0,0,50,2,26,0
143.23,19,Electronics,0,0,59,4,32,0
211.92,13,Grocery,0,0,87,1,69,0
189.98,23,Food,0,0,28,2,63,0
45.71,23,Electronics,0,0,27,1,31,0
224.18,6,Travel,0,0,29,0,26,0
48.75,12,Electronics,0,0,53,1,26,0
70.85,21,Travel,0,0,43,2,50,0
247.02,7,Clothing,0,0,41,0,48,0
188.78,22,Travel,0,0,58,2,27,0
340.55,4,Travel,0,0,44,0,27,0
192.93,11,Grocery,0,0,52,3,56,0
151.21,12,Electronics,0,0,97,2,22,0
17.7,19,Clothing,0,0,91,3,35,0
82.51,13,Electronics,0,0,34,3,50,0
55.47,17,Travel,0,0,45,1,66,0
50.35,23,Travel,0,0,28,3,35,0
650.22,19,Electronics,0,1,46,1,69,0
89.89,3,Clothing,0,0,95,2,29,0
400.69,20,Clothing,0,0,86,0,42,0
179.52,17,Grocery,0,0,36,4,44,0
285.09,6,Travel,0,0,35,3,58,0
125.72,14,Travel,0,0,46,4,26,0
154.83,20,Grocery,0,0,53,2,66,0
122.09,5,Electronics,0,0,85,0,30,0
39.1,15,Travel,1,0,85,5,66,0
230.72,19,Electronics,0,1,51,1,39,0
59.32,23,Clothing,0,0,71,3,19,0
4.43,7,Food,0,0,38,1,56,0
186.65,20,Grocery,0,0,31,2,65,0
35.09,15,Travel,0,0,39,2,32,0
507.79,21,Grocery,0,0,70,4,40,0
553.96,15,Clothing,0,0,52,2,30,0
443.43,2,Clothing,0,0,67,3,62,0
83.21,16,Clothing,0,0,34,1,64,0
2.8,8,Clothing,0,0,75,1,37,0
474.39,2,Food,0,0,27,3,30,0
100.61,19,Electronics,0,0,68,3,44,0
612.15,6,Electronics,0,0,78,3,59,0
596.47,17,Food,0,0,58,3,34,0
345.13,11,Electronics,0,0,89,3,48,0
62.78,18,Clothing,0,0,49,0,43,0
87.53,15,Electronics,0,0,87,0,39,0
342.85,21,Grocery,0,0,94,1,58,0
68.61,23,Electronics,0,0,69,1,49,0
33.43,16,Grocery,0,0,92,0,39,0
146.47,19,Travel,0,0,50,0,45,0
495.23,14,Grocery,0,0,50,0,59,0
214.35,0,Grocery,0,0,50,1,64,0
151.94,1,Clothing,0,0,86,2,18,0
18.4,7,Clothing,0,0,85,0,21,0
171.82,21,Clothing,0,0,26,1,33,0
829.9,1,Grocery,1,0,65,2,60,0
27.17,18,Food,0,0,69,0,40,0
131.49,8,Clothing,0,0,38,4,55,0
377.75,8,Clothing,0,0,61,2,58,0
243.01,12,Grocery,0,0,26,3,65,0
214.93,5,Travel,0,0,29,0,53,0
218.21,14,Travel,0,1,26,0,31,0
80.19,18,Electronics,0,0,25,0,60,0
62.56,20,Travel,0,0,72,1,60,0
298.33,14,Clothing,0,0,46,0,20,0
299.04,17,Food,0,0,65,1,18,0
363.23,6,Electronics,0,0,49,1,61,0
440.03,10,Food,0,0,70,2,33,0
128.9,7,Food,0,0,33,5,25,0
125.31,5,Clothing,0,0,85,3,18,0
288.17,7,Grocery,0,0,71,0,38,0
188.95,1,Grocery,0,0,98,3,19,0
217.9,18,Grocery,0,0,27,1,29,0
285.95,15,Travel,0,0,32,0,31,0
397.32,6,Grocery,0,0,49,2,39,0
74.25,9,Clothing,0,0,60,0,37,0
84.77,11,Travel,0,0,67,3,34,0
17.77,16,Grocery,0,0,74,1,24,0
155.41,6,Food,0,0,87,3,38,0
6.59,21,Clothing,0,0,58,2,51,0
112.79,7,Clothing,0,0,97,1,39,0
140.81,6,Electronics,0,0,34,2,39,0
60.77,3,Clothing,1,0,51,5,38,1
160.85,2,Food,0,0,37,2,30,0
5.58,18,Clothing,0,0,75,3,62,0
6.85,14,Electronics,0,0,92,0,23,0
311.28,3,Clothing,0,0,40,0,42,0
80.39,8,Clothing,1,0,36,1,61,0
24.46,12,Electronics,0,0,49,1,48,0
132.96,17,Clothing,0,1,73,4,42,0
264.54,20,Travel,0,0,40,1,49,0
43.76,15,Clothing,0,0,26,4,46,0
175.54,0,Grocery,0,0,97,1,65,0
16.06,3,Grocery,0,0,59,2,52,0
9.55,17,Travel,0,0,46,3,29,0
136.42,7,Clothing,0,1,72,1,33,0
140.02,19,Food,0,1,88,4,26,0
182.62,15,Clothing,1,0,91,0,30,0
233.09,20,Grocery,0,0,46,1,29,0
670.24,10,Electronics,0,1,97,3,43,0
130.73,19,Travel,0,0,71,1,32,0
70.2,20,Electronics,0,0,64,3,21,0
285.42,20,Food,0,0,77,4,66,0
56.85,20,Clothing,0,0,27,4,27,0
104.04,18,Food,0,0,30,3,65,0
14.71,22,Electronics,0,0,38,0,61,0
4.62,18,Clothing,0,0,82,4,55,0
591.73,17,Food,0,0,31,1,65,0
325.4,18,Grocery,0,0,53,0,29,0
214.32,10,Grocery,0,0,27,0,39,0
94.65,2,Travel,0,0,37,0,55,0
34.26,7,Grocery,0,0,60,3,47,0
30.62,19,Grocery,0,0,62,1,32,0
51.84,18,Electronics,0,0,99,1,53,0
143.42,9,Grocery,0,1,84,1,22,0
225.69,15,Grocery,0,0,97,2,66,0
194.29,4,Electronics,0,0,46,1,21,0
59.11,19,Grocery,0,0,45,1,43,0
557.66,8,Grocery,0,0,57,0,60,0
241.02,7,Travel,0,0,28,2,36,0
145.48,10,Grocery,0,0,68,2,31,0
170.29,15,Grocery,0,0,25,1,44,0
97.93,6,Travel,0,0,86,1,55,0
51.24,14,Electronics,0,0,46,2,43,0
79.2,23,Grocery,0,0,83,2,59,0
255.27,20,Food,0,0,61,3,40,0
2.61,19,Electronics,1,0,47,5,59,0
22.21,22,Electronics,0,0,57,1,67,0
8.48,16,Grocery,0,0,46,4,66,0
7.48,5,Travel,0,0,88,5,19,0
348.16,14,Electronics,0,0,86,2,30,0
218.92,7,Travel,0,0,78,2,29,0
115.7,6,Food,0,0,82,3,54,0
18.53,1,Travel,0,0,36,3,57,0
121.77,12,Clothing,0,0,42,4,53,0
115.46,22,Travel,0,0,91,3,20,0
34.24,5,Electronics,0,0,84,1,21,0
102.4,4,Travel,0,0,25,5,48,0
91.5,19,Travel,0,0,44,2,58,0
172.21,0,Clothing,0,1,41,1,45,0
181.46,17,Clothing,0,0,73,3,57,0
8.35,14,Grocery,0,0,46,0,28,0
84.49,22,Electronics,0,0,57,0,64,0
176.96,9,Grocery,0,0,50,5,60,0
125.9,2,Clothing,1,0,51,0,33,0
349.44,4,Travel,0,0,84,5,55,0
193.5,23,Clothing,0,0,58,5,46,0
32.01,12,Food,0,0,76,3,32,0
13.17,7,Travel,0,0,79,3,38,0
185.11,21,Grocery,0,0,85,5,31,0
4.84,20,Travel,0,0,74,2,33,0
158.64,1,Food,0,0,87,3,44,0
507.11,8,Clothing,0,0,88,0,45,0
154.22,16,Electronics,0,0,38,5,31,0
88.43,17,Electronics,0,0,75,0,53,0
185.55,12,Electronics,0,0,51,0,27,0
110.33,0,Clothing,0,0,64,0,64,0
141.99,11,Electronics,0,1,92,3,26,0
510.86,19,Food,0,0,33,2,45,0
87.83,19,Clothing,0,0,80,5,31,0
584.84,20,Electronics,0,0,63,1,36,0
424.36,4,Grocery,0,0,39,4,30,0
39.22,7,Clothing,0,0,42,3,68,0
12.94,14,Clothing,0,0,76,2,54,0
19.12,2,Travel,0,1,85,2,56,0
3.31,5,Electronics,0,0,61,4,69,0
17.86,12,Grocery,0,0,77,0,20,0
206.8,11,Food,0,0,36,3,24,0
13.29,18,Clothing,0,0,49,4,45,0
69.15,17,Food,0,0,49,2,31,0
335.43,23,Food,0,0,45,1,54,0
4.24,0,Food,0,1,31,5,65,1
303.22,6,Travel,0,0,73,1,69,0
59.6,11,Food,0,0,63,2,39,0
22.64,9,Electronics,0,0,99,5,48,0
214.77,11,Electronics,0,0,73,1,18,0
178.45,10,Grocery,0,0,58,0,64,0
377.89,3,Grocery,1,0,99,0,29,0
239.09,18,Food,0,0,40,4,41,0
292.86,5,Food,1,0,39,4,47,0
59.64,8,Travel,0,0,64,0,63,0
35.16,19,Food,0,0,31,3,65,0
249.98,9,Food,0,0,64,3,44,0
295.96,4,Food,1,0,90,1,33,0
838.26,12,Clothing,0,0,94,2,38,0
95.77,8,Clothing,0,0,46,1,21,0
83.74,1,Travel,0,0,83,4,19,0
269.63,17,Travel,0,0,29,1,38,0
75.01,20,Electronics,0,0,42,1,24,0
480.62,0,Travel,0,0,35,3,54,0
351.87,23,Electronics,0,0,32,0,24,0
100.86,20,Food,0,0,44,1,19,0
250.16,11,Travel,0,0,99,4,29,0
252.83,9,Travel,0,0,83,4,18,0
19.59,1,Travel,0,0,49,1,20,0
419.12,8,Electronics,1,1,82,6,18,1
126.67,1,Electronics,0,0,43,2,52,0
315.24,22,Grocery,0,0,26,1,33,0
69.43,23,Electronics,0,0,82,2,68,0
406.58,21,Electronics,0,0,90,3,25,0
88.74,13,Clothing,0,0,31,3,38,0
1.96,10,Travel,0,0,75,2,68,0
424.42,22,Electronics,0,0,57,1,22,0
17.23,10,Travel,0,0,99,1,48,0
69.24,16,Travel,0,0,37,2,43,0
539.46,3,Clothing,0,0,34,3,18,0
541.43,12,Travel,0,1,83,3,40,0
153.36,6,Electronics,0,0,62,2,30,0
179.86,15,Travel,0,0,44,4,49,0
107.1,0,Grocery,0,0,38,1,22,0
62.46,12,Grocery,0,1,64,2,37,0
71.73,0,Clothing,0,0,31,2,68,0
200.94,10,Electronics,0,0,93,2,45,0
251.25,5,Clothing,0,0,30,2,24,0
282.28,19,Grocery,0,0,64,1,30,0
280.59,2,Electronics,0,0,77,1,49,0
17.21,11,Travel,0,0,33,2,63,0
122.77,4,Electronics,0,0,89,3,35,0
10.67,8,Food,0,1,44,3,63,0
143.54,11,Electronics,0,0,30,2,62,0
104.86,9,Travel,0,0,63,1,25,0
393.59,18,Food,0,0,45,2,46,0
77.79,4,Clothing,0,0,61,6,37,0
22.41,4,Electronics,0,0,36,2,43,0
27.78,8,Clothing,0,0,94,4,35,0
258.02,19,Electronics,0,0,39,5,63,0
173.32,16,Grocery,0,0,45,2,19,0
19.19,9,Grocery,0,0,70,0,60,0
15.81,20,Travel,0,0,95,2,64,0
217.3,0,Grocery,0,0,34,6,59,1
13.6,21,Food,0,0,90,2,66,0
310.53,15,Food,0,0,63,4,41,0
220.5,14,Electronics,0,0,46,1,60,0
15.27,22,Clothing,0,0,66,2,25,0
15.96,16,Food,0,0,30,1,39,0
776.78,19,Electronics,1,0,76,2,51,0
84.39,12,Clothing,0,0,61,3,49,0
83.35,0,Grocery,1,0,30,2,52,1
301.6,7,Electronics,0,0,97,2,42,0
529.59,4,Clothing,0,0,53,1,24,0
768.38,5,Travel,0,0,93,4,31,0
251.98,22,Travel,0,0,75,5,61,0
84.96,19,Food,0,0,51,0,46,0
15.69,13,Clothing,0,0,61,2,54,0
270.22,21,Travel,0,0,70,3,54,0
147.12,22,Food,0,1,49,2,24,0
99.37,10,Electronics,0,0,61,0,50,0
426.28,5,Electronics,0,0,47,4,34,0
21.22,10,Clothing,1,0,50,6,36,0
122.13,12,Clothing,0,0,76,3,42,0
2.06,11,Clothing,0,0,27,1,25,0
113.82,21,Clothing,1,0,97,0,29,0
10.43,1,Travel,0,0,96,1,20,0
22.77,20,Travel,0,0,52,4,48,0
22.5,2,Food,0,0,58,1,61,0
188.56,22,Travel,0,0,89,3,25,0
246.71,3,Electronics,1,0,53,1,21,0
157.6,16,Food,0,0,28,0,49,0
589.45,21,Travel,0,0,92,1,24,0
84.56,5,Clothing,0,0,86,3,31,0
60.56,6,Travel,0,0,62,3,51,0
365.31,14,Grocery,0,0,91,1,22,0
45.55,10,Food,0,0,26,2,29,0
594.52,23,Travel,0,0,68,0,54,0
2.2,2,Travel,0,0,56,0,44,0
630.45,5,Electronics,0,0,27,0,38,0
7.94,1,Clothing,0,1,41,0,30,0
399.19,13,Clothing,0,0,36,1,42,0
135.03,8,Electronics,0,0,88,1,51,0
892.23,17,Electronics,0,0,87,1,59,0
13.8,18,Grocery,1,0,96,5,61,0
145.28,11,Food,0,0,65,0,65,0
627.04,12,Clothing,0,0,26,2,34,0
133.28,11,Electronics,0,0,77,3,38,0
178.67,11,Electronics,0,0,58,2,32,0
214.18,17,Food,0,0,98,0,43,0
109.1,8,Electronics,0,0,64,3,50,0
177.78,16,Grocery,0,0,95,5,52,0
158.01,20,Food,0,0,89,3,43,0
416.56,15,Grocery,0,0,79,3,29,0
8.37,16,Travel,0,0,98,2,39,0
59.37,20,Clothing,1,0,75,4,27,0
540.72,23,Electronics,0,0,29,4,26,0
397.74,7,Food,0,0,80,2,53,0
109.47,10,Grocery,0,1,45,2,51,0
174.23,23,Clothing,0,0,82,4,38,0
58.48,1,Clothing,0,0,97,5,50,0
37.51,7,Electronics,1,1,55,2,27,0
112.15,11,Clothing,0,0,70,2,62,0
78.47,20,Electronics,0,0,51,3,24,0
157.72,0,Travel,0,0,94,3,45,0
14.57,22,Electronics,0,0,55,2,35,0
659.69,12,Grocery,0,0,65,2,32,0
771.1,21,Clothing,0,0,69,3,57,0
215.62,20,Clothing,0,0,60,3,47,0
138.25,16,Clothing,0,0,26,3,42,0
66.67,13,Electronics,0,0,86,3,67,0
302.56,13,Food,1,0,45,1,67,0
207.78,15,Electronics,0,0,58,3,62,0
31.95,16,Grocery,0,0,37,3,47,0
435.29,5,Electronics,0,0,43,1,33,0
311.22,6,Clothing,0,0,57,2,27,0
538.51,0,Travel,0,1,73,0,42,0
232.85,14,Grocery,0,0,27,2,29,0
171.07,19,Travel,0,1,62,4,57,0
97.51,20,Grocery,0,0,95,1,18,0
485.82,17,Grocery,0,0,39,3,26,0
361.87,12,Clothing,0,0,62,2,37,0
8.33,23,Electronics,0,0,49,3,55,0
4.81,1,Clothing,0,0,85,0,35,0
85.02,18,Clothing,0,0,74,3,46,0
299.46,14,Clothing,0,0,34,2,54,0
785.57,11,Travel,1,0,74,1,66,0
29.34,14,Grocery,0,0,66,1,29,0
162.31,17,Food,0,0,95,4,54,0
86.31,13,Electronics,0,0,76,6,49,0
630.67,5,Clothing,1,1,70,2,29,0
332.26,11,Grocery,0,0,64,4,54,0
327.99,19,Electronics,0,0,82,3,56,0
113.83,22,Food,0,0,48,3,29,0
96.45,5,Food,0,0,93,0,50,0
57.49,8,Clothing,0,0,64,2,60,0
10.44,3,Food,0,0,44,1,49,0
360.08,16,Food,0,0,53,2,50,0
301.7,1,Electronics,0,0,61,1,41,0
1471.04,15,Electronics,1,0,44,3,48,0
1025.08,23,Clothing,1,0,42,2,64,0
145.92,13,Grocery,0,0,28,3,47,0
263.75,7,Clothing,0,0,35,1,43,0
521.31,13,Travel,0,0,88,3,19,0
341.06,1,Food,0,0,76,3,69,0
51.15,15,Grocery,0,0,67,2,34,0
107.79,3,Electronics,0,0,38,5,18,1
24.89,0,Travel,0,0,69,1,69,0
554.44,22,Travel,0,0,52,1,48,0
167.73,19,Food,1,0,28,3,46,0
46.73,13,Electronics,0,0,40,1,28,0
200.49,7,Grocery,0,0,62,2,62,0
173.28,2,Electronics,0,0,87,1,21,0
79.82,4,Food,1,0,47,2,53,0
21.7,5,Travel,0,0,44,2,25,0
200.42,21,Food,0,1,93,1,53,0
132.23,7,Clothing,0,0,45,2,64,0
266.37,5,Travel,0,0,66,1,38,0
132.18,5,Food,0,0,93,1,28,0
344.12,3,Grocery,1,0,38,3,29,1
144.5,6,Grocery,1,0,94,1,43,0
148.16,23,Grocery,0,0,29,2,44,0
376.7,18,Clothing,0,0,48,2,51,0
93,6,Electronics,0,0,53,1,27,0
25.9,2,Grocery,0,0,26,3,26,0
5.26,7,Clothing,0,0,30,0,56,0
253.27,0,Grocery,0,0,58,3,30,0
174.31,0,Clothing,0,0,46,2,29,0
219.18,13,Grocery,0,0,28,2,34,0
43.11,5,Electronics,0,0,30,2,21,0
26.39,9,Food,0,0,91,2,56,0
2.64,13,Grocery,0,0,87,2,45,0
77.7,3,Food,0,0,97,0,58,0
160.45,5,Grocery,0,0,92,4,37,0
89.64,15,Electronics,0,0,58,2,24,0
103.56,20,Food,0,0,96,2,25,0
422.11,0,Clothing,0,0,58,6,52,0
77.06,5,Grocery,0,0,81,3,46,0
129.87,8,Grocery,0,0,61,2,64,0
275.56,14,Clothing,0,0,30,6,32,0
90.91,11,Electronics,0,0,95,3,48,0
175.16,2,Travel,0,0,69,1,29,0
356.97,10,Grocery,0,0,65,1,38,0
537.51,14,Clothing,1,0,29,2,65,0
28.63,2,Travel,0,0,84,4,33,0
470.1,13,Grocery,0,0,91,2,56,0
121.95,1,Food,0,0,41,2,49,0
53.77,3,Clothing,0,0,89,1,23,0
110.63,18,Food,0,1,79,4,41,0
704.46,11,Electronics,0,0,33,2,49,0
122.13,1,Travel,0,1,28,1,35,1
71.75,16,Clothing,0,0,66,1,61,0
180.63,2,Grocery,0,0,70,1,27,0
49.43,9,Grocery,1,0,98,6,46,0
14.2,15,Travel,0,0,25,4,26,0
24.84,21,Food,0,0,41,2,30,0
24.66,8,Food,0,0,31,3,68,0
29.66,10,Clothing,0,0,29,1,44,0
26.9,20,Clothing,1,0,76,2,54,0
184.34,14,Food,0,0,77,2,25,0
36.13,2,Clothing,0,0,27,3,19,0
76.35,15,Food,0,0,86,2,59,0
408.78,20,Travel,0,0,56,4,21,0
115.63,20,Clothing,0,0,26,1,27,0
198.23,20,Food,0,1,77,5,31,0
34.04,11,Clothing,0,0,36,0,42,0
38.44,22,Grocery,0,0,29,2,58,0
7.51,4,Grocery,0,0,28,1,31,0
33.31,6,Electronics,0,0,80,2,27,0
58.78,8,Food,1,0,88,1,25,0
35.07,20,Electronics,1,0,69,1,23,0
16.72,17,Food,1,0,84,0,22,0
23.14,20,Clothing,1,0,44,4,38,0
111.17,7,Food,0,0,77,2,66,0
41.6,11,Grocery,0,0,97,4,40,0
81.54,19,Clothing,0,0,40,1,54,0
126,1,Grocery,0,0,54,6,36,0
211.04,9,Clothing,0,0,44,4,66,0
7.22,18,Food,0,0,76,5,37,0
289.17,8,Food,1,0,60,0,27,0
177.95,23,Grocery,0,0,46,4,35,0
15.35,7,Travel,0,1,25,2,37,0
372.26,23,Food,0,0,45,4,65,0
456.6,23,Travel,0,0,72,2,28,0
11.34,23,Clothing,0,0,96,1,32,0
58.35,0,Travel,0,1,29,4,49,1
